Tarih,Tarih,İşlenmemiş Gıda,Meyve Sebze Hariç İşlenmemiş Gıda,Taze Meyve-Sebze,İşlenmiş Gıda,Ekmek ve Diğer Tahıllar,Diğer İşlenmiş Gıda
2025-02-03,2025-02-03,112.93406278828648,111.71668344458006,113.95412188762339,109.7341063663137,112.19945300776128,109.17952602030384
2025-02-04,2025-02-04,112.60267196521333,112.41369019777332,112.37424094637709,110.03781466977846,113.17076211777287,109.33924554059404
2025-02-05,2025-02-05,113.67481625792438,112.34783720445493,114.82506110184805,110.27132135093736,113.18658587259429,109.61963231900066
2025-02-06,2025-02-06,113.64447019402292,112.37218345683695,114.72836950117103,111.5475762754123,118.21194910243673,110.08736628940179
2025-02-07,2025-02-07,112.58497276514125,112.2340943959869,112.55337090425691,111.71132003994379,118.33251318379266,110.2603845049043
2025-02-08,2025-02-08,112.0655808284179,112.09688564612254,111.57161485916866,111.8702281053356,118.52555119651669,110.41190122309654
2025-02-09,2025-02-09,112.09095474966593,112.14305291115073,111.57161485916866,111.87814993257793,118.52555119651669,110.4215292126546
2025-02-10,2025-02-10,112.05190854327991,112.0720092383598,111.57161485916863,111.93754754250573,118.52555119651669,110.493719573624
2025-02-11,2025-02-11,112.63327118630839,112.17860071497508,112.72761407306987,112.03005717191775,118.58249214871856,110.59387782104227
2025-02-12,2025-02-12,113.79258574129483,111.9686944673598,115.54626180769098,112.20563177887854,118.59134345599819,110.80535857054836
2025-02-13,2025-02-13,114.13884182309508,112.06398641269486,116.19611244715247,112.23962829043707,118.59134345599819,110.8466770755201
2025-02-14,2025-02-14,113.96432171701031,112.15374344653705,115.70111946436187,112.35458516350093,118.59134345599819,110.9863927673212
2025-02-15,2025-02-15,114.17141756202201,112.31666510796916,115.96105880839906,112.40969968731689,118.59134345599819,111.05337757317058
2025-02-16,2025-02-16,114.20760314408847,112.55328727192297,115.75350138321615,112.42283664418802,118.59134345599819,111.06934390009381
2025-02-17,2025-02-17,114.46550596698437,112.77541780357531,116.05382996696856,112.47029701497523,118.60210886204511,111.12470517819571
2025-02-18,2025-02-18,115.34734966348141,113.2848902897279,117.38463844606693,112.59689477188236,118.64058946326443,111.27027305757136
2025-02-19,2025-02-19,118.11699847306099,115.03493942189675,121.38216540631247,112.88500066739685,118.64058946326443,111.6204297157245
2025-02-20,2025-02-20,118.09910153194782,115.28129942900415,121.04318293237665,113.1849830464747,118.92383166087778,111.92395791481192
2025-02-21,2025-02-21,118.61582734262485,114.94722413815718,122.59180724049627,113.78462353457384,119.94341621472826,112.43293849481715
2025-02-22,2025-02-22,119.00560187086832,114.86557419379584,123.55293046034426,113.33898302871658,119.26753289381794,112.03702870503164
2025-02-23,2025-02-23,119.4196693507994,115.17257111015932,124.09543901599143,113.34799009736443,119.26753289381794,112.04797566969498
2025-02-24,2025-02-24,119.52362920107092,115.84552702108424,123.50746020823465,113.37354060536192,119.26753289381794,112.0790291143964
2025-02-25,2025-02-25,120.59375679442961,115.9033220280615,125.8035482904227,113.40824464745317,119.26753289381794,112.12120753417979
2025-02-26,2025-02-26,121.64631268841185,116.53858229370886,127.35897226632216,113.49557008675988,119.27828621645607,112.22502241876586
2025-02-27,2025-02-27,122.04757595433242,116.73467779944309,128.00794877476497,113.24029657933741,119.27828621645607,111.91476941920658
2025-02-28,2025-02-28,121.77253421892075,116.71710322316899,127.42111946519582,113.12751007795913,118.59623934479555,111.92473078417427
2025-03-01,2025-03-01,122.61136071901313,117.16596972384771,128.73046186920078,113.1732975802917,118.59623934479555,111.98037976273241
2025-03-02,2025-03-02,122.57664128168504,116.83869442793842,129.05143442772228,113.08475442221959,118.35940479267494,111.92382467053515
2025-03-03,2025-03-03,122.50025060306498,117.11388665576025,128.548066679708,113.11875208825982,118.45741481657276,111.94401506366515
2025-03-04,2025-03-04,123.30078076987355,116.37492538616861,131.2163240122061,113.37213321714977,118.3570248625724,112.27361070674138
2025-03-05,2025-03-05,125.86406077630666,116.98816470498436,136.13911091120818,113.52960046529415,118.3570248625724,112.46499243907402
2025-03-06,2025-03-06,126.26823827974222,117.10011573318056,136.89679452223035,113.55126973834078,117.67991585559183,112.63730343930088
2025-03-07,2025-03-07,125.83802810830268,117.54602021761328,135.40356965756973,113.61017880819895,117.70411891016157,112.7036822195207
2025-03-08,2025-03-08,126.39762581781902,117.572654098949,136.6086155406938,113.63558344932001,117.70411891016157,112.73455838128982
2025-03-09,2025-03-09,126.27368413296372,117.4188048853909,136.52152548987812,113.63920237279936,117.70411891016157,112.7389567298532
2025-03-10,2025-03-10,125.86861958168001,117.21055038071911,135.878920507703,113.70462912351582,117.70411891016157,112.81847475687508
2025-03-11,2025-03-11,127.02842233084063,118.2650346483777,137.16200108020342,114.26067905291953,119.35528539588624,113.13831672312227
2025-03-12,2025-03-12,128.27480334466375,118.90378058259529,139.14178611692276,114.32834258207927,119.48242289136418,113.19314430634506
2025-03-13,2025-03-13,128.30597898725583,119.10143192406962,138.9705126789605,114.3803840374854,119.48242289136418,113.25639418215162
2025-03-14,2025-03-14,127.5101425559384,119.20847663848224,137.08061903337853,114.37562128749744,119.48242289136418,113.25060565562244
2025-03-15,2025-03-15,126.979963369811,119.098313141578,136.04214080073575,114.38402564226362,119.48242289136418,113.2608200969951
2025-03-16,2025-03-16,127.00537450853403,118.99231848081523,136.22714944493757,114.38764063956076,119.48242289136418,113.26521367377542
2025-03-17,2025-03-17,126.70767443463502,118.67815818453278,135.95066505135597,114.42442898016442,119.60320053419662,113.28388741987513
2025-03-18,2025-03-18,127.66245730312316,119.70871986610906,136.80946757969122,114.5242621835367,119.61217203201085,113.40328806141619
2025-03-19,2025-03-19,127.58896296790333,119.54384577907668,136.84732843364642,114.6157496922294,119.61217203201085,113.51447967812844
2025-03-20,2025-03-20,127.74171008838134,119.60314551708584,137.11302316241913,114.55302533770644,119.61217203201085,113.43824607546183
2025-03-21,2025-03-21,127.10915708863902,120.25433970350034,134.9228722497577,114.57445151242806,119.6140442035139,113.46388329669531
2025-03-22,2025-03-22,126.45476959970195,120.07442378630178,133.6945093847416,113.97183771163878,118.44308728962943,112.98392267449488
2025-03-23,2025-03-23,126.44653514966976,120.05944139421185,133.6945093847416,113.96285111293192,118.4449202532266,112.97260542857758
2025-03-24,2025-03-24,126.81963924364182,120.7382956958837,133.6945093847416,113.96382869789973,118.4449202532266,112.97379356075649
2025-03-25,2025-03-25,127.33666281213978,121.65492617420345,133.72377685483298,113.96433766242356,118.4449202532266,112.97441214343584
2025-03-26,2025-03-26,129.18672136378748,122.46714007146618,136.82762835422156,114.01053937205945,118.5551986531958,113.00679014330578
2025-03-27,2025-03-27,129.28643941053966,122.71466298743788,136.74730961189996,114.07995072123576,118.5551986531958,113.0911509510639
2025-03-28,2025-03-28,129.41256123145158,123.13287580538338,136.51793253970848,114.19955849862336,119.05178970197758,113.12946153229728
2025-03-29,2025-03-29,130.5964761050207,123.079611645849,139.20060671313303,114.19763702320532,119.05178970197758,113.12712621940861
2025-03-30,2025-03-30,130.5964761050207,123.079611645849,139.20060671313303,114.19763702320532,119.05178970197758,113.12712621940861
2025-03-31,2025-03-31,130.5964761050207,123.079611645849,139.20060671313303,114.19763702320532,119.05178970197758,113.12712621940861
2025-04-01,2025-04-01,130.26748497754164,123.24053028036542,138.2775539536911,114.29831625856487,119.05178970197758,113.24948922949547
2025-04-02,2025-04-02,130.54126980714847,123.21677053982611,138.91183859114818,114.34399725173647,119.26214733568553,113.25965875759393
2025-04-03,2025-04-03,129.79191222172398,123.24241245650845,137.22365258813386,115.22874233238092,121.67948449009556,113.81381345141696
2025-04-04,2025-04-04,128.65082501912497,123.08090598851213,134.89669776169887,115.38585746853471,121.80051457263917,113.9786749357512
2025-04-05,2025-04-05,127.89837252409761,122.99656856834758,133.33532886514863,115.63740938504408,121.91005670137046,114.26078914072029
2025-04-06,2025-04-06,127.73523192512353,122.99819444022548,132.97260699862372,115.66623115946128,121.91005670137046,114.29581840034011
2025-04-07,2025-04-07,127.56746471038252,123.26503922901031,132.2773270433018,115.79754268633666,122.26439412780051,114.37902120625708
2025-04-08,2025-04-08,127.87818015934583,123.57769269107402,132.58442307975633,115.81604705448179,122.26439412780051,114.40151094982645
2025-04-09,2025-04-09,128.46313008329386,124.63312366711844,132.5952053692411,115.91418370836134,122.39756517121783,114.49207405837936
2025-04-10,2025-04-10,128.3803429855798,124.80643175785642,132.2015159326168,116.14946935698079,122.37023528149693,114.7839262380995
2025-04-11,2025-04-11,128.11056273943794,125.73812731800554,130.47264844035945,116.27070461211784,122.37023528149693,114.93127251754075
2025-04-12,2025-04-12,128.45842672431647,126.31876513399608,130.53620110538864,116.31130105938956,122.37212857543247,114.98020425212191
2025-04-13,2025-04-13,128.18649278900767,126.15704145772312,130.1314320938024,116.38741562024104,122.37212857543247,115.07271197473185
2025-04-14,2025-04-14,127.73966336541481,125.76171376772704,129.62382912571897,116.37778968860987,122.37212857543247,115.06101285956599
2025-04-15,2025-04-15,129.42104912004862,125.86491240538388,133.21638629699464,116.41316720807309,122.37212857543247,115.10400980680605
2025-04-16,2025-04-16,129.7730252691684,125.87696494015356,133.98004850029855,116.45098399254813,122.37212857543247,115.14997137538221
2025-04-17,2025-04-17,130.34691703649972,125.92954618273883,135.18516772539633,116.60368347755096,122.41215038503736,115.32693037671413
2025-04-18,2025-04-18,129.94451337781226,126.33896782221001,133.79776877611917,116.35662801243242,122.45381963171363,115.01768210431291
2025-04-19,2025-04-19,128.84871896231792,126.2363997360255,131.49933862429737,115.89689044899936,121.81944469720631,114.59569050972554
2025-04-20,2025-04-20,128.06544100435488,125.47438515792173,130.69340536536913,115.88296433134366,121.81944469720631,114.57876505663597
2025-04-21,2025-04-21,128.54777075944006,125.70787781958987,131.47619103397508,115.88879482437407,121.81944469720631,114.5858512912001
2025-04-22,2025-04-22,128.7878845809693,125.55691413651957,132.19061465674014,116.1642366371842,121.81944469720631,114.92061634179719
2025-04-23,2025-04-23,128.19808091335503,125.6896734101505,130.7250609691336,116.19098423367983,121.81944469720631,114.9531246977467
2025-04-24,2025-04-24,128.1504859135848,125.91708217921511,130.3434403675529,116.2289893142892,121.60623097012119,115.04528085020173
2025-04-25,2025-04-25,129.37448328138635,125.62123584526739,133.40956369124714,116.28825939719691,121.60623097012119,115.11731621803882
2025-04-26,2025-04-26,129.26024162561225,125.93366960663005,132.7772370748486,116.47220855425839,121.60623097012119,115.34088339632135
2025-04-27,2025-04-27,128.86434775727207,125.73416326560101,132.1442789648975,116.46229705352849,121.60623097012119,115.32883720765635
2025-04-28,2025-04-28,128.48312398681477,125.57541772736933,131.4942225575355,116.55264340205223,121.58927937637766,115.44229640048754
2025-04-29,2025-04-29,127.99235307020179,125.79044464381383,130.1476737945582,116.61987490314355,121.59443562859165,115.5228962638224
2025-04-30,2025-04-30,127.1658489779362,124.7852431975478,129.5417077414204,117.05716942380296,122.18031190159107,115.92806674457485
2025-05-01,2025-05-01,125.6114706127964,124.37045303361991,126.60868192303452,117.19536846386002,122.27263627695338,116.07612660844681
2025-05-02,2025-05-02,125.38386097375003,124.74477104258843,125.65045994716284,117.35177381025132,122.55731036421601,116.20484619938284
2025-05-03,2025-05-03,125.68935184441062,124.88172635244855,126.15953362973757,117.3668249009784,122.41045972211535,116.25479774803361
2025-05-04,2025-05-04,126.05272143924381,124.94933537340073,126.8808704344469,117.35979968738405,122.41045972211535,116.24625948014912
2025-05-05,2025-05-05,126.25134357716249,125.24150342225455,126.96499573174385,117.36789622593567,122.41045972211535,116.25609980943769
2025-05-06,2025-05-06,126.51041620074535,125.94362172015872,126.6845694274556,117.64834618379446,122.4368354119685,116.59126542400085
2025-05-07,2025-05-07,126.25862530513913,125.23825199955235,126.98504904723701,117.3164722607817,120.79267764991391,116.54237035940528
2025-05-08,2025-05-08,126.46973341269315,125.39765365850498,127.25813848821163,117.45250828971244,120.74999467096927,116.716906947458
2025-05-09,2025-05-09,125.1474708958931,124.5175512952932,125.40388664222313,117.3749132219447,120.75089659653985,116.62240541213922
2025-05-10,2025-05-10,124.51203879443855,123.65833035793887,125.04301608585159,117.25565050527622,120.61407185060807,116.50695390264526
2025-05-11,2025-05-11,123.95215185876687,122.89956821491941,124.72710517127787,117.25806157841151,120.61407185060807,116.50988426028378
2025-05-12,2025-05-12,124.37017941981765,123.2710365910638,125.20001664446706,117.30284855539753,120.61407185060807,116.56431722550376
2025-05-13,2025-05-13,124.3273438531206,123.59376383231496,124.7130773569384,117.53171911320717,120.62148668991244,116.84088221432066
2025-05-14,2025-05-14,125.10688432027825,123.21252558221873,126.90017096346922,117.70508801626663,120.99797962930917,116.97042409562471
