,"Alkolsüz içecekler (meşrubat, ayran vb.)","Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, kabartma maddeleri, sirke, ketçap, mayonez vb.)",Dana eti,Diğer etler ve yenilebilir sakatatlar,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)","Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)",Dondurma,Ekmek,Kahvaltılık tahıl ürünleri,Kahve,Konserve edilmiş veya işlenmiş balık,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",Kuru baklagiller,Kuru meyve ve sert kabuklu yemişler,Kuzu eti,Makarna çeşitleri,Margarin,Meyve ve sebze suları,Patates,Peynir,Pirinç,"Reçel, marmelat, bal vb. ürünler",Su ve maden suyu,Süt,"Sıvı yağlar (zeytinyağı, ayçiçek yağı)",Tavuk eti,Taze balık,Taze meyveler,Taze sebzeler (patates hariç),Tereyağı,Toz kakao,Un ve diğer tahıllar,Yumurta,Çay ve bitki çayları,Çikolata ve şekerlemeler,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",Şeker
2024-12-03,102.18328362247257,102.48361269801171,103.93765923601464,108.62349776413838,100.8775498328674,101.38670492387789,101.57337075864676,102.46903188286545,106.30366710013644,102.41209802196487,103.1111284280937,101.16156526441573,102.6117390819478,101.8485107522406,106.4736041315429,106.11921312762576,110.27526272895736,100.81483642615872,99.0630896707272,100.73745798843765,103.47209730127042,100.52937677382772,100.82925707223922,102.85975444771267,102.79242848537993,103.04932674034517,110.18907708192526,99.67498962449109,113.45650320175609,100.6481621998544,101.87691342241423,102.17298100883256,106.58215096857863,104.33059353631691,101.54497825840063,103.441200724512,104.19861135898856
2024-12-04,102.1776943002066,102.48316074107339,103.93765923601464,108.62349776413838,100.8775498328674,101.51041487869321,101.57337076369348,102.56378449860418,106.30366710013644,102.33604727649286,103.23208441187039,101.2092666848522,102.6117390819478,102.27983920199037,106.4736041315429,106.11921312762576,110.27526272895736,101.83917951404695,99.70866210259902,101.00064691700842,103.47209730127042,100.5483734405616,100.93356786267532,102.79414370944204,102.77113617570703,102.8338637999801,109.68496608042202,100.67253194174863,113.95869416439446,100.6481621998544,101.87691342241423,102.17298100883256,106.94447469161932,104.21907629166863,101.65647377890352,103.79698177290464,104.29873965800627
2024-12-05,102.17491258396387,102.49759963652676,103.99182179366208,110.06582240498028,100.86119845410622,101.48152660697644,101.57368840869331,102.56378449860418,106.30118300394702,102.47293199594165,103.5212820474953,101.29907843299996,102.6117390819478,103.0494070603577,107.07325059372776,106.11921312762576,111.89567188138965,102.29116111949162,99.70866210259902,101.44193770277347,103.98762664466696,100.79306590512837,100.93356786267532,102.93947972197273,102.87278788328629,102.61084593989096,108.96200168197932,100.70899075438513,113.78713883707805,100.53664069049168,101.87691342241423,102.25599263580247,107.06027060600674,104.70040729495031,101.82563858382746,103.75094019731293,105.12172821964248
2024-12-06,102.19096604392706,102.44217038961301,105.03304153627688,110.06582240498028,100.95965427468867,101.52448535745474,101.57368840869331,102.56378449860418,106.55790090165,102.60679756096035,103.78975397953386,101.14435881504589,102.69525417375833,103.04858294734125,107.24322193072744,106.11921312762576,112.03142742442154,102.51678178513082,99.70866210259902,101.28419198945615,104.31919391952324,100.9320127307387,100.9474573709483,103.02407013193398,102.6598500337895,101.90645806771434,109.43284363965414,100.22843563418968,113.84403530665807,100.97376802646454,101.23808566842139,102.25599263580247,107.32036962051394,104.70040729495031,101.84517650436187,102.74641158989613,105.02372748234575
2024-12-07,102.1868200276089,102.4454864063529,103.96308679204571,109.80972732859328,100.95965427468867,101.5031093476915,101.57368840869331,102.56378449860418,106.56040398242858,102.9460418146219,103.95330870010216,101.11050158834335,102.69525417375833,103.04858294734125,106.98002482276054,106.11921312762576,111.91114909748308,102.51678178513082,99.70866210259902,101.42123005627862,104.31919391952324,101.03118476727866,100.9474573709483,103.07996030650337,102.50847668101866,101.93429545922473,110.16623963258986,100.19557439322769,113.72040925043112,100.97376802646454,101.23808566842128,102.25599263580247,107.40395767087578,104.72162881627183,101.8470914647514,102.54062113276635,105.02372748234575
2024-12-08,102.18111464779969,102.4454864063529,103.96308679204571,109.80972732859328,100.9609452688306,101.72160201716265,101.57368840869331,102.56378449860418,106.56040398242858,102.99796472484776,103.95330870010216,101.12832236573684,102.69525417375833,103.04858294734125,106.98002482276054,106.11921312762576,111.90913819254122,102.63780115303516,99.70866210259902,101.42101600013814,104.29931058232395,101.03118476727866,100.9474573709483,103.21108339787963,102.45801333832397,102.02097655421505,109.75824372619375,100.19557439322759,113.72040925043112,100.97376802646454,101.23808566842101,102.25599263580247,107.40395767087578,104.72879056170625,101.8458653827085,102.54062113276635,105.02372748234575
2024-12-09,102.18111464779969,102.9179349799469,103.8124809883226,109.80972732859328,100.9780373806667,101.72160687790941,101.57368840869707,102.56378449860418,106.55791388683082,103.10467688719763,103.95330870010216,101.11178203236678,103.10755600240252,103.04941160903344,106.98002482276054,106.11921312762576,111.8855532968882,102.70496413990531,99.70866210259902,101.42101600013814,104.51693873248644,101.04500055098265,100.9474573709483,103.37177709734055,102.45801333832397,102.68997731160006,110.23333548589416,100.24571246256878,114.00283490508478,100.97376802646454,101.23808566842101,102.25599263580247,107.40395767087578,104.72879056170625,101.9407565056821,102.98084445864575,105.02372748234575
2024-12-10,102.30674283531536,103.11648167576335,104.91093697679194,110.11377716655456,100.98599683991407,101.57381265804378,101.57370405310311,102.58108316355592,106.55541080574716,103.12296520335332,103.97410817666038,101.38097661658982,103.10755600240252,103.04941160903344,106.98002482276054,106.11921312762576,111.8855532968882,102.80465588591927,103.35078029381258,101.42001038360779,104.51693873248644,101.2401244457934,100.93440321321225,103.29489112185473,102.41578897663418,102.85275451419955,110.32152224219662,100.0954483199131,114.19584628387594,100.97376802646454,101.23808566842101,102.25599263580247,108.09349775193135,107.90797868094086,101.95369570141509,103.64877426519396,105.02372748234575
2024-12-11,102.30605877015032,103.11694081443774,105.08658675630798,110.11377716655456,100.98599683991407,101.6061858313239,101.52665094783279,102.58108316355592,106.52105764501474,103.18168476549945,103.97410817666038,101.5402503815505,103.10755600240252,103.10411215923536,106.98002482276054,106.11921312762576,112.05973942033955,102.86621556010245,102.43950859161713,101.48849160845353,104.51693873248644,101.20194113572948,101.07141593595259,103.3482966971085,102.38263103738068,102.85275451419955,110.32152224219662,100.75604013882334,115.31684624704334,100.99222101436192,101.23808566840546,102.29184393135438,108.91025832805788,107.90797868094086,101.94899609421736,103.66884344765165,105.02372748234575
2024-12-12,102.30675437195697,103.11922433468837,105.88219229535736,110.11377716655456,100.98876680962594,101.67208016665434,101.52665094783279,102.58108316355592,106.52355986033292,104.2849263031129,103.97410817666038,101.53892194045864,103.10755600240252,103.10505569315143,106.98002482276054,106.28545033046939,112.245569542168,102.89087883788557,98.44550604726918,101.42965887153711,104.51693873248644,101.20194113572948,101.07141593595259,103.34968784392092,102.9511341113741,103.9649793927177,111.04255374230485,100.83005359948756,114.99584882752427,100.99222101436192,102.36736514645402,102.29184393135438,108.91025832805788,107.90797868094086,101.95653599039905,103.39961945845737,105.48884463603312
